Method,Categories,Mean (ms),Error (ms),StdDev (ms),Field Count,Query Type,Field Types,Search Type
Json_Both_Two_BuildUpon,"json,two,both,buildupon",2667.68,27.364,24.257,2,json,both,buildupon
Json_Both_Four_BuildUpon,"json,four,both,buildupon",4758.69,4.975,3.884,4,json,both,buildupon
Json_Both_Six_BuildUpon,"json,six,both,buildupon",4762.67,15.341,13.6,6,json,both,buildupon
Json_Both_Eight_BuildUpon,"json,eight,both,buildupon",4756.97,8.63,7.651,8,json,both,buildupon
Json_Both_Two_LongString,"json,two,both,longstring",788.29,6.157,4.807,2,json,both,longstring
Json_Both_Four_LongString,"json,four,both,longstring",1308.21,19.194,17.954,4,json,both,longstring
Json_Both_Six_LongString,"json,six,both,longstring",1281.64,20.908,19.558,6,json,both,longstring
Json_Both_Eight_LongString,"json,eight,both,longstring",1264.31,8.785,6.859,8,json,both,longstring
Json_Both_Two,"json,two,both",2536.93,10.512,9.83,2,json,both,normal
Json_Both_Four,"json,four,both",5431.76,14.023,13.12,4,json,both,normal
Json_Both_Six,"json,six,both",3665.26,8.397,7.44,6,json,both,normal
Json_Both_Eight,"json,eight,both",5442.79,13.986,13.08,8,json,both,normal
Json_Both_Two_ShortString,"json,two,both,shortstring",874.19,16.871,20.083,2,json,both,shortstring
Json_Both_Four_ShortString,"json,four,both,shortstring",1298.13,23.281,21.777,4,json,both,shortstring
Json_Both_Six_ShortString,"json,six,both,shortstring",1291.01,23.548,22.027,6,json,both,shortstring
Json_Both_Eight_ShortString,"json,eight,both,shortstring",1292.35,24.618,24.179,8,json,both,shortstring
Media_Both_Two_BuildUpon,"media,two,both,buildupon",1191.22,22.021,20.598,2,media,both,buildupon
Media_Both_Four_BuildUpon,"media,four,both,buildupon",2390.84,35.557,33.26,4,media,both,buildupon
Media_Both_Six_BuildUpon,"media,six,both,buildupon",3404.36,31.111,29.101,6,media,both,buildupon
Media_Both_Eight_BuildUpon,"media,eight,both,buildupon",4593.04,7.522,6.668,8,media,both,buildupon
Media_Both_Two_LongString,"media,two,both,longstring",1197.04,15.627,13.853,2,media,both,longstring
Media_Both_Four_LongString,"media,four,both,longstring",2331.39,26.729,25.002,4,media,both,longstring
Media_Both_Six_LongString,"media,six,both,longstring",3501.39,23.495,20.827,6,media,both,longstring
Media_Both_Eight_LongString,"media,eight,both,longstring",4673.59,9.58,8,8,media,both,longstring
Media_Both_Two,"media,two,both",1338.78,9.5,8.89,2,media,both,normal
Media_Both_Four,"media,four,both",2693.03,10.054,9.4,4,media,both,normal
Media_Both_Six,"media,six,both",3682.96,12.264,11.47,6,media,both,normal
Media_Both_Eight,"media,eight,both",5169.48,21.261,18.85,8,media,both,normal
Media_Both_Two_ShortString,"media,two,both,shortstring",1197.33,16.348,14.492,2,media,both,shortstring
Media_Both_Four_ShortString,"media,four,both,shortstring",2416.62,33.188,31.044,4,media,both,shortstring
Media_Both_Six_ShortString,"media,six,both,shortstring",3599.08,30.492,27.03,6,media,both,shortstring
Media_Both_Eight_ShortString,"media,eight,both,shortstring",4711.53,14.27,12.65,8,media,both,shortstring
Json_Op_One_BuildUpon,"json,one,op,buildupon",165.85,3.302,3.391,1,json,op,buildupon
Json_Op_Two_BuildUpon,"json,two,op,buildupon",3619.08,43.439,40.633,2,json,op,buildupon
Json_Op_Three_BuildUpon,"json,three,op,buildupon",4761.12,12.263,10.871,3,json,op,buildupon
Json_Op_Four_BuildUpon,"json,four,op,buildupon",4760.38,43.668,34.093,4,json,op,buildupon
Json_Op_Five_BuildUpon,"json,five,op,buildupon",4751.75,10.917,9.116,5,json,op,buildupon
Json_Op_Six_BuildUpon,"json,six,op,buildupon",4764.77,36.133,30.172,6,json,op,buildupon
Json_Op_Seven_BuildUpon,"json,seven,op,buildupon",4757.01,9.972,8.84,7,json,op,buildupon
Json_Op_Eight_BuildUpon,"json,eight,op,buildupon",4755.69,17.241,14.397,8,json,op,buildupon
Json_Op_One_LongString,"json,one,op,longstring",161.56,3.141,3.491,1,json,op,longstring
Json_Op_Two_LongString,"json,two,op,longstring",4019.64,22.178,19.66,2,json,op,longstring
Json_Op_Three_LongString,"json,three,op,longstring",4742.92,39.189,36.658,3,json,op,longstring
Json_Op_Four_LongString,"json,four,op,longstring",4750.89,20.153,17.865,4,json,op,longstring
Json_Op_Five_LongString,"json,five,op,longstring",4755.03,15.314,12.788,5,json,op,longstring
Json_Op_Six_LongString,"json,six,op,longstring",4749.01,20.478,19.155,6,json,op,longstring
Json_Op_Seven_LongString,"json,seven,op,longstring",4743.81,16.07,14.246,7,json,op,longstring
Json_Op_Eight_LongString,"json,eight,op,longstring",4750.25,5.764,4.813,8,json,op,longstring
Json_Op_One,"json,one,op",28.05,0.264,0.23,1,json,op,normal
Json_Op_Two,"json,two,op",2206.16,15.537,12.97,2,json,op,normal
Json_Op_Three,"json,three,op",5340.91,19.233,17.05,3,json,op,normal
Json_Op_Four,"json,four,op",5403.1,33.622,31.45,4,json,op,normal
Json_Op_Five,"json,five,op",5371.52,21.022,18.64,5,json,op,normal
Json_Op_Six,"json,six,op",5461.66,10.487,9.81,6,json,op,normal
Json_Op_Seven,"json,seven,op",6735.02,16.532,15.46,7,json,op,normal
Json_Op_Eight,"json,eight,op",5306.52,18.558,17.36,8,json,op,normal
Json_Op_One_ShortString,"json,one,op,shortstring",170.46,0.704,0.55,1,json,op,shortstring
Json_Op_Two_ShortString,"json,two,op,shortstring",4106.29,25.568,23.916,2,json,op,shortstring
Json_Op_Three_ShortString,"json,three,op,shortstring",4759.08,29.472,26.126,3,json,op,shortstring
Json_Op_Four_ShortString,"json,four,op,shortstring",4758.49,24.45,21.674,4,json,op,shortstring
Json_Op_Five_ShortString,"json,five,op,shortstring",4782,12.091,10.719,5,json,op,shortstring
Json_Op_Six_ShortString,"json,six,op,shortstring",4783.61,19.404,17.201,6,json,op,shortstring
Json_Op_Seven_ShortString,"json,seven,op,shortstring",4770.88,31.735,26.5,7,json,op,shortstring
Json_Op_Eight_ShortString,"json,eight,op,shortstring",4775.82,36.509,28.504,8,json,op,shortstring
Media_Op_One_BuildUpon,"media,one,op,buildupon",100.09,1.952,2.922,1,media,op,buildupon
Media_Op_Two_BuildUpon,"media,two,op,buildupon",801.75,5.369,4.484,2,media,op,buildupon
Media_Op_Three_BuildUpon,"media,three,op,buildupon",1205.82,15.057,14.084,3,media,op,buildupon
Media_Op_Four_BuildUpon,"media,four,op,buildupon",1616.83,14.126,13.214,4,media,op,buildupon
Media_Op_Five_BuildUpon,"media,five,op,buildupon",2013.39,23.448,21.933,5,media,op,buildupon
Media_Op_Six_BuildUpon,"media,six,op,buildupon",2402.93,15.626,13.852,6,media,op,buildupon
Media_Op_Seven_BuildUpon,"media,seven,op,buildupon",2818.16,34.75,32.505,7,media,op,buildupon
Media_Op_Eight_BuildUpon,"media,eight,op,buildupon",3208.73,32.084,30.012,8,media,op,buildupon
Media_Op_One_LongString,"media,one,op,longstring",392.53,1.947,1.52,1,media,op,longstring
Media_Op_Two_LongString,"media,two,op,longstring",809.07,3.898,3.255,2,media,op,longstring
Media_Op_Three_LongString,"media,three,op,longstring",1201.67,17.341,16.221,3,media,op,longstring
Media_Op_Four_LongString,"media,four,op,longstring",1616.22,27.637,25.852,4,media,op,longstring
Media_Op_Five_LongString,"media,five,op,longstring",1970.44,22.854,21.378,5,media,op,longstring
Media_Op_Six_LongString,"media,six,op,longstring",2355.85,26.594,24.876,6,media,op,longstring
Media_Op_Seven_LongString,"media,seven,op,longstring",2743.6,27.012,25.267,7,media,op,longstring
Media_Op_Eight_LongString,"media,eight,op,longstring",3135.41,26.533,24.819,8,media,op,longstring
Media_Op_One,"media,one,op",62.31,1.176,1.31,1,media,op,normal
Media_Op_Two,"media,two,op",863.29,1.77,1.57,2,media,op,normal
Media_Op_Three,"media,three,op",1362.1,9.611,8.52,3,media,op,normal
Media_Op_Four,"media,four,op",1798.65,3.925,3.67,4,media,op,normal
Media_Op_Five,"media,five,op",2185.05,4.914,4.6,5,media,op,normal
Media_Op_Six,"media,six,op",2669.32,18.444,17.25,6,media,op,normal
Media_Op_Seven,"media,seven,op",2793.89,5.922,4.62,7,media,op,normal
Media_Op_Eight,"media,eight,op",3486.25,13.419,11.9,8,media,op,normal
Media_Op_One_ShortString,"media,one,op,shortstring",397.69,2.288,1.911,1,media,op,shortstring
Media_Op_Two_ShortString,"media,two,op,shortstring",796.3,14.451,13.517,2,media,op,shortstring
Media_Op_Three_ShortString,"media,three,op,shortstring",1197.46,12.685,11.865,3,media,op,shortstring
Media_Op_Four_ShortString,"media,four,op,shortstring",1576.58,20.381,18.067,4,media,op,shortstring
Media_Op_Five_ShortString,"media,five,op,shortstring",1973.91,19.018,16.859,5,media,op,shortstring
Media_Op_Six_ShortString,"media,six,op,shortstring",2356.98,34.185,31.976,6,media,op,shortstring
Media_Op_Seven_ShortString,"media,seven,op,shortstring",2739.5,27.625,25.84,7,media,op,shortstring
Media_Op_Eight_ShortString,"media,eight,op,shortstring",3140.7,36.274,33.93,8,media,op,shortstring
Json_Req_One_BuildUpon,"json,one,req,buildupon",26.24,0.439,0.343,1,json,req,buildupon
